EnrollmentID,StudentID,CourseID,FinalScore,Pass_Fail,Gender,Age,PriorAttempts,ParentEduLevel,TotalLoginDays,MeanVideoTime,AvgDaysLate,ForumPostsCount,ForumVotesReceived,MidtermScore,CourseCategory,SchoolID
1,83,C301,85,Pass,Male,21,5,4,80,30,-2.4,30,191,73,Arts,S1
2,290,C401,92,Pass,Male,26,0,2,12,177,0.5,40,62,81,Arts,S2
3,261,C401,1,Withdrawn,Male,43,3,4,59,262,4.6,27,129,84,Business,S2
4,154,C401,10,Withdrawn,Female,28,5,2,21,175,1.6,47,24,44,Arts,S1
5,360,C301,27,Withdrawn,Male,27,5,4,67,156,-0.3,0,161,80,Business,S1
6,69,C101,11,Withdrawn,Male,41,2,2,75,56,4.9,1,127,81,Business,S1
7,225,C101,87,Pass,Male,27,1,4,39,113,0.8,2,180,90,Arts,S2
8,53,C101,36,Withdrawn,Female,45,5,4,52,113,3.7,20,121,61,STEM,S1
9,265,C401,9,Withdrawn,Male,20,5,5,33,123,-3.2,24,84,42,STEM,S1
10,288,C101,59,Fail,Female,34,5,2,52,274,-4.4,28,50,63,STEM,S2
11,439,C201,78,Pass,Female,26,2,2,19,245,-3.7,17,179,77,Business,S3
12,390,C101,32,Withdrawn,Female,23,5,2,68,260,-4.3,8,112,50,STEM,S3
13,126,C101,76,Pass,Male,36,0,5,78,126,-3.5,41,167,93,Business,S2
14,93,C201,30,Withdrawn,Male,22,5,2,47,164,1.2,31,128,71,Business,S3
15,444,C201,30,Withdrawn,Male,43,5,4,37,109,3.9,15,4,95,Business,S2
16,198,C201,69,Pass,Male,22,3,2,14,203,-2.7,29,183,40,Arts,S2
17,356,C101,73,Pass,Male,42,0,2,48,161,-4.9,6,200,66,Arts,S3
18,237,C301,91,Pass,Male,37,5,5,75,268,0.4,46,39,82,Business,S1
19,232,C101,1,Withdrawn,Male,34,1,1,36,97,-4.0,41,182,75,Business,S3
20,14,C101,91,Pass,Male,21,2,3,25,291,1.9,47,66,51,STEM,S2
21,306,C101,70,Pass,Female,44,5,3,89,35,4.3,8,90,47,Arts,S2
22,199,C201,44,Fail,Female,24,1,4,55,52,4.3,33,0,90,STEM,S2
23,219,C301,76,Pass,Female,18,0,1,31,237,-4.9,43,77,59,Arts,S2
24,43,C201,36,Withdrawn,Female,40,5,3,27,249,-1.1,27,191,64,Arts,S2
25,46,C401,13,Withdrawn,Female,25,5,5,33,185,-3.4,39,77,87,Business,S3
26,76,C401,7,Withdrawn,Female,24,5,2,55,232,-4.4,48,103,74,Business,S1
27,406,C301,93,Pass,Male,19,0,3,37,253,3.4,4,11,75,Arts,S3
28,357,C301,95,Pass,Female,27,2,1,57,55,0.6,7,70,74,Business,S3
29,84,C101,36,Withdrawn,Male,26,4,2,74,99,-0.0,33,58,55,Arts,S1
30,145,C101,13,Withdrawn,Female,43,5,3,80,44,-4.3,6,154,56,Business,S3
31,397,C401,48,Fail,Male,41,3,5,25,53,4.8,43,26,89,STEM,S1
32,286,C201,14,Withdrawn,Male,25,3,1,29,264,-1.4,14,56,65,Business,S2
33,404,C101,82,Pass,Male,32,1,2,46,129,-3.3,22,44,87,STEM,S2
34,407,C401,24,Withdrawn,Female,37,1,3,77,187,1.8,24,127,82,Arts,S1
