EnrollmentID,StudentID,WeekNum,WeeklyLoginCount,WeeklyClickTotal,WeeklyVideoViews,WeeklyForumPosts,CumulativeAssignmentScore
1,83,1,9,203,3,2,9
1,83,2,12,136,3,0,22
1,83,3,11,167,9,1,33
1,83,4,14,273,18,4,42
1,83,5,11,211,17,4,55
1,83,6,7,193,13,0,68
1,83,7,11,200,9,3,79
1,83,8,6,174,4,0,84
1,83,9,6,224,3,2,91
1,83,10,6,174,16,0,102
1,83,11,6,267,0,5,111
1,83,12,10,169,8,0,122
1,83,13,9,160,17,3,133
1,83,14,10,202,19,3,138
1,83,15,6,175,10,0,149
2,290,1,12,261,6,2,5
2,290,2,8,253,12,4,11
2,290,3,13,244,13,1,16
2,290,4,13,164,8,2,29
2,290,5,7,230,10,4,42
2,290,6,8,177,9,2,56
2,290,7,7,135,0,4,68
2,290,8,11,183,15,1,75
2,290,9,10,143,10,0,81
2,290,10,11,282,8,2,91
2,290,11,9,211,12,1,105
2,290,12,11,183,1,0,115
2,290,13,10,205,19,5,128
2,290,14,10,267,14,5,133
2,290,15,9,287,12,3,139
3,261,1,10,71,7,1,12
3,261,2,7,89,2,3,23
3,261,3,8,106,5,2,28
3,261,4,2,31,8,3,33
3,261,5,8,165,6,2,47
3,261,6,9,142,0,4,60
3,261,7,3,21,6,1,70
3,261,8,8,196,3,3,84
3,261,9,10,111,4,4,93
3,261,10,8,105,5,5,105
3,261,11,3,127,2,2,115
3,261,12,4,174,13,4,124
3,261,13,4,171,6,0,136
3,261,14,7,169,19,5,141
3,261,15,3,175,12,0,151
4,154,1,10,105,1,4,12
4,154,2,10,125,19,2,19
4,154,3,5,68,2,2,25
4,154,4,6,128,2,1,39
4,154,5,6,189,2,3,45
4,154,6,4,177,20,0,56
4,154,7,6,145,9,1,70
4,154,8,6,144,9,3,82
4,154,9,9,83,4,4,95
4,154,10,4,150,10,1,109
4,154,11,7,196,3,0,122
4,154,12,7,201,11,4,135
4,154,13,7,129,1,2,146
4,154,14,5,142,7,1,156
4,154,15,4,59,19,2,164
5,360,1,12,151,20,2,14
5,360,2,4,126,18,4,23
5,360,3,8,117,12,1,37
5,360,4,8,232,6,5,50
5,360,5,12,80,3,5,58
5,360,6,8,214,4,1,67
5,360,7,4,143,0,4,75
5,360,8,11,142,20,3,80
5,360,9,7,58,11,2,87
5,360,10,3,98,14,5,95
5,360,11,10,160,14,2,107
5,360,12,10,81,7,0,113
5,360,13,6,109,12,5,123
5,360,14,9,147,18,3,128
5,360,15,8,186,11,5,136
6,69,1,5,77,1,5,14
6,69,2,6,77,11,0,26
6,69,3,6,157,13,0,38
6,69,4,5,132,18,4,47
6,69,5,11,78,3,0,58
6,69,6,6,205,7,5,67
6,69,7,8,230,14,2,73
6,69,8,6,112,17,0,83
6,69,9,3,101,8,2,92
6,69,10,5,95,4,2,100
6,69,11,10,84,3,5,106
6,69,12,3,97,14,1,119
6,69,13,5,113,14,3,124
6,69,14,7,132,2,1,136
6,69,15,6,102,2,1,150
7,225,1,10,232,16,2,9
7,225,2,6,278,8,1,14
7,225,3,6,266,10,5,23
7,225,4,6,169,3,5,31
7,225,5,11,257,11,0,44
7,225,6,13,172,0,0,53
7,225,7,9,302,5,4,62
7,225,8,7,231,6,4,72
7,225,9,10,129,3,4,85
7,225,10,14,275,12,2,97
7,225,11,7,232,17,4,107
7,225,12,11,122,0,1,115
7,225,13,7,143,6,0,125
7,225,14,8,199,6,1,133
7,225,15,11,227,10,1,146
8,53,1,11,172,15,2,6
8,53,2,8,168,1,4,19
8,53,3,5,227,9,3,31
8,53,4,6,81,6,0,44
8,53,5,8,148,8,1,56
8,53,6,6,224,19,1,68
8,53,7,9,166,15,2,77
8,53,8,10,139,3,3,91
8,53,9,5,91,13,4,96
8,53,10,9,192,8,4,107
8,53,11,12,143,16,2,115
8,53,12,9,93,10,0,124
8,53,13,9,148,18,1,135
8,53,14,10,157,10,1,146
8,53,15,9,165,1,1,157
9,265,1,9,215,2,1,7
9,265,2,4,120,1,3,12
9,265,3,5,141,17,0,22
9,265,4,7,116,6,0,34
9,265,5,4,87,12,3,45
9,265,6,9,233,20,3,51
9,265,7,7,196,2,4,65
9,265,8,5,30,4,4,77
9,265,9,10,46,19,0,88
9,265,10,7,113,0,4,100
9,265,11,5,144,8,1,105
9,265,12,5,98,11,4,111
9,265,13,9,166,3,0,121
9,265,14,3,121,8,5,130
9,265,15,1,204,14,3,141
10,288,1,10,130,19,3,8
10,288,2,6,187,14,5,21
10,288,3,7,96,14,0,30
10,288,4,11,158,8,2,39
10,288,5,5,234,20,4,47
10,288,6,8,214,4,2,56
10,288,7,11,139,9,5,64
10,288,8,11,256,6,3,72
